"BIC","LEI"
"AFSAKYK1XXX","549300CX0YOWPNTQ2Z70"
"AFSAKYK2XXX","549300CX0YOWPNTQ2Z70"
"AFSBUS33XXX","549300YOGGZET04TZM44"
"AFSEUS31XXX","F8FLXU8CQ2Y5N8404U64"
"AFSMMTM1XXX","894500S6O5QL2YJJW154"
"AFSOUS31XXX","5493000WJHGHFJFR9U63"
"AFSSITM1XXX","81560026E7517B367931"
"AFTBGB22XXX","894500QEMGMRG67KPB44"
"AFVSIT21XXX","815600BE1AA3B1051633"
"AFWAGB21XXX","213800KP9DOI9YB3UF14"
"AFXBMXMMXXX","549300UOVN71BXMSEL32"
"AFXMEGCAXXX","21380068LJCDYA42GJ76"
"AGAAUS31XXX","254900FAB9OXTEVXAE77"
"AGALUS31XXX","549300WQ4KUST6F5E355"
"AGAPFR22XXX","9695008JMSP3KVCUTU95"
"AGBACZPPXXX","I6USJ58BDV2BO5KP3C31"
"AGBBESBBXXX","54930034GFXYC385W422"
"AGBCIT31XXX","81560099383646EBBB04"
"AGBKBDDHXXX","5493006E5MYMOUBR7M83"
"AGBMDE21XXX","529900E1WHT64CB20277"
"AGBMDEMMXXX","529900E1WHT64CB20277"
"AGBOHR21XXX","529900T91VSVHHZD7N54"
"AGBTTWTPXXX","25490082929AT2L3F485"
"AGCAAM22XXX","529900XZRBMAJ6ZKAR24"
"AGCGUS31XXX","254900YOCD5JASYHPN24"
"AGCORUMMXXX","253400483V90C0CBLM07"
"AGCSFRP1XXX","969500L6WGXQD6PX8U53"
"AGCUIE21XXX","635400Y5TRYHVELUWZ86"
"AGEEGB22XXX","5493003WOFC8QHHZFY55"
"AGEGIT31XXX","81560029E048192C4678"
"AGEIAEA1XXX","254900D60M5I1CGMIA09"
"AGENFRP1XXX","96950038JZ2HJPCATX14"
"AGEPFRP1XXX","969500XHR56HFFD7OE32"
"AGESDK21XXX","2549007L4GTN729MG213"
"AGFBFRCCXXX","969500B1EE98I4QA2X57"
"AGFCFR21XXX","969500TRYIRC2902PT72"
"AGFDFRPAXXX","9695008K5N8MKIT4XJ91"
"AGFECA81XXX","549300BENYSF664A4K89"
