,id,name,bic,transaction_total_days,countries,logo
52,SPARKASSE_RATTENBERG_BANK_AG_SPRTAT21,Sparkasse Rattenberg Bank AG,SPRTAT21,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
53,SPARKASSE_REUTTE_AG_SPREAT21,Sparkasse Reutte AG,SPREAT21,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
54,SPARKASSE_RIED_IM_INNKREIS_HAAG_AM_HAUSRUCK_SPRHAT21,Sparkasse Ried im Innkreis-Haag am Hausruck,SPRHAT21,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
55,SPARKASSE_SALZKAMMERGUT_AG_SKBIAT21,Sparkasse Salzkammergut AG,SKBIAT21,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
56,SPARKASSE_SCHEIBBS_AG_SPSBAT21,Sparkasse Scheibbs AG,SPSBAT21,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
57,SPARKASSE_SCHWAZ_AG_SPSCAT22,Sparkasse Schwaz AG,SPSCAT22,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
58,SPARKASSE_VOITSBERG_KOEFLACH_BANKAKTIENGESELLSCHAFT_SPVOAT21XXX,Sparkasse Voitsberg-Köflach Bankaktiengesellschaft,SPVOAT21XXX,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
59,STEIERMARKISCHE_BANK_UND_SPARKASSEN_AG_STSPAT2GXXX,Steiermärkische Bank und Sparkassen AG,STSPAT2GXXX,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
60,STRIPE_STPUIE21,Stripe,STPUIE21,730,"['NO', 'SE', 'FI', 'DK', 'EE', 'LV', 'LT', 'GB', 'NL', 'CZ', 'ES', 'PL', 'BE', 'DE', 'AT', 'BG', 'HR', 'CY', 'FR', 'GR', 'HU', 'IS', 'IE', 'IT', 'LI', 'LU', 'MT', 'PT', 'RO', 'SK', 'SI']",https://cdn.nordigen.com/ais/STRIPE_STPUIE21.png
61,VOLKSBANK_KARNTEN_VBOEATWW,Volksbank Kärnten,VBOEATWW,90,['AT'],https://cdn.nordigen.com/ais/VOLKSBANK_KARNTEN_VBOEATWW.png
62,VOLKSBANK_NIEDEROSTERREICH_VBOEATWW,Volksbank Niederösterreich,VBOEATWW,90,['AT'],https://cdn.nordigen.com/ais/VOLKSBANK_NIEDEROSTERREICH_VBOEATWW.png
63,VOLKSBANK_OBEROSTERREICH_VBOEATWW,Volksbank Oberösterreich,VBOEATWW,90,['AT'],https://cdn.nordigen.com/ais/VOLKSBANK_OBEROSTERREICH_VBOEATWW.png
64,VOLKSBANK_SALZBURG_VBOEATWW,Volksbank Salzburg,VBOEATWW,90,['AT'],https://cdn.nordigen.com/ais/VOLKSBANK_SALZBURG_VBOEATWW.png
65,VOLKSBANK_STEIERMARK_VBOEATWW,Volksbank Steiermark,VBOEATWW,90,['AT'],https://cdn.nordigen.com/ais/VOLKSBANK_STEIERMARK_VBOEATWW.png
66,VOLKSBANK_TIROL_VBOEATWW,Volksbank Tirol,VBOEATWW,90,['AT'],https://cdn.nordigen.com/ais/VOLKSBANK_TIROL_VBOEATWW.png
67,VOLKSBANK_VORARLBERG_VBOEATWW,Volksbank Vorarlberg,VBOEATWW,90,['AT'],https://cdn.nordigen.com/ais/VOLKSBANK_VORARLBERG_VBOEATWW.png
68,VOLKSBANK_WIEN_VBOEATWW,Volksbank Wien,VBOEATWW,90,['AT'],https://cdn.nordigen.com/ais/VOLKSBANK_WIEN_VBOEATWW.png
69,WALDVIERTLER_SPARKASSE_BANK_AG_SPWTAT21,Waldviertler Sparkasse Bank AG,SPWTAT21,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
70,WIENER_NEUSTADTER_SPARKASSE_WINSATWNXXX,Wiener Neustädter Sparkasse,WINSATWNXXX,730,['AT'],https://cdn.nordigen.com/ais/KARNTNER_SPARKASSE_AG_KSPKAT2KXXX.png
71,WISE_TRWIGB22,Wise,TRWIGB22,730,"['NO', 'SE', 'FI', 'DK', 'EE', 'LV', 'LT', 'GB', 'NL', 'CZ', 'ES', 'PL', 'BE', 'DE', 'AT', 'BG', 'HR', 'CY', 'FR', 'GR', 'HU', 'IS', 'IE', 'IT', 'LI', 'LU', 'MT', 'PT', 'RO', 'SK', 'SI']",https://cdn.nordigen.com/ais/WISE_TRWIGB22.png
72,OSTERREICHISCHE_ARZTE_UND_APOTHEKERBANK_BWFBATW1,Österreichische Ärzte- und Apothekerbank,BWFBATW1,90,['AT'],https://cdn.nordigen.com/ais/OSTERREICHISCHE_ARZTE_UND_APOTHEKERBANK_BWFBATW1.png
